Tweet,Polarity,Subjectory,Search
Colorado Avalanche: An Open Letter About Patrick Roy https://t.co/F0rHYfDfwr via @mhsavalanche https://t.co/15lYyFVQVb,neutral,0.5,Colorado Avalanche
[BSN Denver] Adam Foote leaves Avalanche organization https://t.co/4WtA7OcMcq #Avalanche,neutral,0.0,Colorado Avalanche
Adam Foote is no longer with the Colorado Avalanche. https://t.co/SaGqg0zqsT,neutral,0.0,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/ATNeW7uvPj,positive,0.9,Colorado Avalanche
RT @prohockeyrumors: Adam Foote is no longer with the Colorado Avalanche. https://t.co/SaGqg0zqsT,neutral,0.0,Colorado Avalanche
RT @prohockeyrumors: Adam Foote is no longer with the Colorado Avalanche. https://t.co/SaGqg0zqsT,neutral,0.0,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/dEEmm8olIM,positive,0.9,Colorado Avalanche
No one wants to be associated with the Colorado Avalanche right now. https://t.co/m2UloTAZMN,positive,0.32,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/YEySm3IKCS,positive,0.9,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/4LW6X9pLru,positive,0.9,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/LA6dICk2pn,positive,0.9,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/gUCnGSuuOp,positive,0.9,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/pKh8xsZxSC,positive,0.9,Colorado Avalanche
Another huge name walks out on the Colorado Avalanche. https://t.co/qBGBOfk4zI,positive,0.9,Colorado Avalanche
RT @BruinsFeed: Another huge name walks out on the Colorado Avalanche. https://t.co/YEySm3IKCS,positive,0.9,Colorado Avalanche
New @BSNAvalanche podcast: @Aportzline talks Duchene-Blue Jackets trade rumors https://t.co/qPDMDZ0ui8,positive,0.45,Colorado Avalanche
How many games will the Colorado Avalanche win this season?,positive,0.45,Colorado Avalanche
RT @davependrys: How many games will the Colorado Avalanche win this season?,positive,0.45,Colorado Avalanche
RT @adater: New @BSNAvalanche podcast: @Aportzline talks Duchene-Blue Jackets trade rumors https://t.co/qPDMDZ0ui8,positive,0.45,Colorado Avalanche
@Stevie_YG0d @AJHaefele Says Matt plays for the Colorado Avalanche of the NHL. Fam.,neutral,0.0,Colorado Avalanche
RT @lastwordonsport: Colorado Avalanche Trade History: Best and Worst Trades of All-Time - https://t.co/W4u5fLc2hO via @LastWordOnPuck http…,neutral,0.65,Colorado Avalanche
#Colorado @Avalanche https://t.co/203z735rTO,neutral,0.0,Colorado Avalanche
@Stevie_YG0d @SkiingGod Oh and the @Avalanche @Broncos @nuggets @Rockies all these reasons I'm giving you to move to Colorado😍,neutral,0.0,Colorado Avalanche
@J_88_K @SkiingGod @Avalanche @Broncos @nuggets @Rockies Those are all reasons why I'm moving to Colorado. Tryna ge… https://t.co/lD3Hw9T0Ku,neutral,0.0,Colorado Avalanche
RT @prohockeyrumors: Adam Foote is no longer with the Colorado Avalanche. https://t.co/SaGqg0zqsT,neutral,0.0,Colorado Avalanche
[Hockey Buzz] https://t.co/46c5HD1l9m - Rick Sadowski - Foote leaves organization https://t.co/6FBO1Q1pzn #Avalanche,neutral,0.0,Colorado Avalanche
Report: Adam Foote is Leaving the Avalanche Organization https://t.co/ZtEo0k1L30,neutral,0.0,Colorado Avalanche
Report: Adam Foote is Leaving the Avalanche Organization https://t.co/d3w6DTdVv8,neutral,0.0,Colorado Avalanche
Colorado Avalanche Trade History: Best and Worst Trades of All-Time https://t.co/sdB5efGgFj,neutral,0.65,Colorado Avalanche
@SkiingGod @Stevie_YG0d @Avalanche @Broncos @nuggets @Rockies Not the Colorado teams😉,neutral,0.0,Colorado Avalanche
"https://t.co/d46kCAvAvM
Down by 3, Colorado Avalanche coach Patrick Roy just pulled the goalie with 10 minutes left...

And they scored!",negative,0.14,Colorado Avalanche
[SB Nation: Mile High Hockey] Report: Adam Foote is Leaving the Avalanche Organization https://t.co/ShyQY4mbEo #Avalanche,positive,0.54,Colorado Avalanche
RT @MileHighHockey: Report: Adam Foote is Leaving the Avalanche Organization https://t.co/d3w6DTdVv8,neutral,0.0,Colorado Avalanche
RT @prohockeyrumors: Adam Foote is no longer with the Colorado Avalanche. https://t.co/SaGqg0zqsT,neutral,0.0,Colorado Avalanche
@Stevie_YG0d @SkiingGod @Avalanche @Broncos @nuggets @Rockies Colorado sports have the best Social media managers t… https://t.co/GyxjpczcAC,positive,0.18,Colorado Avalanche
@J_88_K @Stevie_YG0d @Avalanche @Broncos @nuggets @Rockies Colorado sports twitter accounts really the goats,positive,0.2,Colorado Avalanche
#LetsGoAvs #GoAvs #Avalanche #Avs Report: Adam Foote is Leaving the Avalanche Organization https://t.co/ulF1qSPOmE,neutral,0.0,Colorado Avalanche
#LetsGoAvs #GoAvs #Avalanche #Avs Report: Adam Foote is Leaving the Avalanche .. #GoAvalanche #ColoradoAvalanche https://t.co/RJei1ZtWh8,neutral,0.0,Colorado Avalanche
[SB Nation: Mile High Hockey] Avalanche ownership group expands into eSports https://t.co/tNp8IjSsmo #Avalanche,positive,0.54,Colorado Avalanche
RT @avsbuzztap: milehighsticking​.com &gt;&gt; Colorado Avalanche: An Open Letter About Patrick Roy https://t.co/o4mNYWv7FP,neutral,0.5,Colorado Avalanche
#NHL #hockey news.... Report: Adam Foote is Leaving the Avalanche Organization https://t.co/j8oQ1bKAjd,neutral,0.0,Colorado Avalanche
RT @AvalancheViews: #LetsGoAvs #GoAvs #Avalanche #Avs Report: Adam Foote is Leaving the Avalanche .. #GoAvalanche #ColoradoAvalanche https:…,neutral,0.0,Colorado Avalanche
RT @AvalancheViews: #LetsGoAvs #GoAvs #Avalanche #Avs Report: Adam Foote is Leaving the Avalanche Organization https://t.co/ulF1qSPOmE,neutral,0.0,Colorado Avalanche
@RichardMartin93 Vs autres depuis 93 une? Ah non c'est vrai c'est l'avalanche du Colorado,neutral,0.0,Colorado Avalanche
RT @prohockeyrumors: Adam Foote is no longer with the Colorado Avalanche. https://t.co/SaGqg0zqsT,neutral,0.0,Colorado Avalanche
Check out NHL Center Ice Collection Colorado Avalanche Hoodie Small Zip Front Reebok (AL) #Reebok https://t.co/jn1LpgAFn0 via @eBay,negative,0.25,Colorado Avalanche
"Colorado Avalanche REVERSIBLE Hooded Winter Ski Jacket,REAL QUALITY  https://t.co/3n9qvOXtUV",neutral,0.0,Colorado Avalanche
"Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/fu8FN5ejCP",positive,0.5,Colorado Avalanche
"Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/NOCC6wU1sX",positive,0.5,Colorado Avalanche
"milehighhockey​.com &gt;&gt; Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/9wGkpg6TOk",positive,0.5,Colorado Avalanche
#GoBolts Report: Adam Foote is Leaving the Avalanche Organization https://t.co/2hH7Y51azc #SportsRoadhouse,neutral,0.0,Colorado Avalanche
"Colorado Avalanche Top 25 Under 25, #11 Conor Timmins #Avs  https://t.co/0yoo1t5amI https://t.co/GFWcTCGJ4L",positive,0.5,Colorado Avalanche
The Matt Duchene saga continues in Colorado https://t.co/SaGqg0hPBl,neutral,0.0,Colorado Avalanche
RT @prohockeyrumors: The Matt Duchene saga continues in Colorado https://t.co/SaGqg0hPBl,neutral,0.0,Colorado Avalanche
"[SB Nation: Mile High Hockey] Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/odVEltwbNA #Avalanche",positive,0.52,Colorado Avalanche
"RT @avalanche_fanly: Colorado Avalanche Top 25 Under 25, #11 Conor Timmins #Avs  https://t.co/0yoo1t5amI https://t.co/GFWcTCGJ4L",positive,0.5,Colorado Avalanche
"#LetsGoAvs #GoAvs #Avalanche #Avs Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/W3WyYHgMtI",positive,0.5,Colorado Avalanche
RT @prohockeyrumors: The Matt Duchene saga continues in Colorado https://t.co/SaGqg0hPBl,neutral,0.0,Colorado Avalanche
RT @lastwordonsport: Colorado Avalanche Trade History: Best and Worst Trades of All-Time - https://t.co/W4u5fLc2hO via @LastWordOnPuck http…,neutral,0.65,Colorado Avalanche
"#LetsGoAvs #GoAvs #Avalanche #Avs Colorado Avalanche Top 25 Under 25, #11 Cono.. #GoAvalanche #ColoradoAvalanche https://t.co/h4QAlbrXgg",positive,0.5,Colorado Avalanche
"Colorado Avalanche Top 25 Under 25, #11 Conor Timmins #avalanche #avs #NHL https://t.co/au3LoDoDvE https://t.co/TIlp02jY3d",positive,0.5,Colorado Avalanche
Vintage 90s Starter Jersey 2XL Colorado Avalanche Patrick Roy NHL Hockey Logo https://t.co/jay351QQD6,neutral,0.0,Colorado Avalanche
"#NHL #hockey news.... Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/TnzRkavb46",positive,0.5,Colorado Avalanche
"""Latest On Matt Duchene, Colorado Avalanche"" https://t.co/qOwcXdOxhf",positive,0.9,Colorado Avalanche
[TSN] Rosario's first homer leads Mets over Phillies - Article - TSN https://t.co/bTW8n4zSfJ #Avalanche,positive,0.33,Colorado Avalanche
"[TSN] Fitzpatrick scores TD, but Bengals beat Buccaneers - Article - TSN https://t.co/25v579olk1 #Avalanche",neutral,0.0,Colorado Avalanche
"RT @Avalanche_101: Colorado Avalanche Top 25 Under 25, #11 Conor Timmins #avalanche #avs #NHL https://t.co/au3LoDoDvE https://t.co/TIlp02jY…",positive,0.5,Colorado Avalanche
"RT @AvalancheViews: #LetsGoAvs #GoAvs #Avalanche #Avs Colorado Avalanche Top 25 Under 25, #11 Cono.. #GoAvalanche #ColoradoAvalanche https:…",positive,0.5,Colorado Avalanche
"RT @AvalancheViews: #LetsGoAvs #GoAvs #Avalanche #Avs Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/W3WyYHgMtI",positive,0.5,Colorado Avalanche
"RT @Hockeygrrls: This is as honest as it gets, tweeps. https://t.co/ewPn1t8oQD",positive,0.9,Colorado Avalanche
"Latest On Matt Duchene, Colorado Avalanche https://t.co/YdyJO4SunB",positive,0.9,Colorado Avalanche
Report: Adam Foote is Leaving the #Avs Organization. #NHL https://t.co/xSTNr3S3Pt,neutral,0.0,Colorado Avalanche
RT @spinohockey: Report: Adam Foote is Leaving the #Avs Organization. #NHL https://t.co/xSTNr3S3Pt,neutral,0.0,Colorado Avalanche
I added a video to a @YouTube playlist https://t.co/YMOu0m2YQY NHL®18 BETA (XBOX One) | New York Islanders vs. Colorado Avalanche |,positive,0.45,Colorado Avalanche
[The Score] Adam Foote departs Avalanche https://t.co/NJbMT4tjIN #Avalanche,neutral,0.0,Colorado Avalanche
"[TSN] Smith, Mahomes solid before 49ers rally past Chiefs - Article - TSN https://t.co/Ej0mywqluh #Avalanche",negative,0.17,Colorado Avalanche
Adam Foote departs Avalanche - Adam Foote has walked away from his role as defensive coach with the Colorado Av... https://t.co/4xgeu16FQO,neutral,0.0,Colorado Avalanche
RT @prohockeyrumors: The Matt Duchene saga continues in Colorado https://t.co/SaGqg0hPBl,neutral,0.0,Colorado Avalanche
@MichelleDBeadle In Colorado they have the AIDS Avalanche.,neutral,0.0,Colorado Avalanche
Daily Avalanche Danger Zone: Five teams who could be this year’s Avs https://t.co/tU2Ext5YIr https://t.co/fNGCwXKr1G,neutral,0.0,Colorado Avalanche
Colorado Avalanche For Bare Feet 4-Stripe Deuce Socks https://t.co/eaPfrsrvbC,positive,0.1,Colorado Avalanche
"NHL Licensed Colorado Avalanche Pennant Banner Party Decoration, Plastic , 12' https://t.co/F7zkJRwiyJ",neutral,0.0,Colorado Avalanche
"RT @MileHighHockey: Colorado Avalanche Top 25 Under 25, #11 Conor Timmins https://t.co/NOCC6wU1sX",positive,0.5,Colorado Avalanche
[SB Nation: Mile High Hockey] Weekend Brunch: One Foote out the door https://t.co/jtcABCHDbq #Avalanche,positive,0.54,Colorado Avalanche
